Cycle,OpSet1,OpSet2,OpSet3,SensorMeasure_1,SensorMeasure_2,SensorMeasure_3,SensorMeasure_4,SensorMeasure_5,SensorMeasure_6,SensorMeasure_7,SensorMeasure_8,SensorMeasure_9,SensorMeasure_10,SensorMeasure_11,SensorMeasure_12,SensorMeasure_13,SensorMeasure_14,SensorMeasure_15,SensorMeasure_16,SensorMeasure_17,SensorMeasure_18,SensorMeasure_19,SensorMeasure_20,SensorMeasure_21,LR
104,-0.0021,-0.0004,100.0,518.67,642.11,1581.93,1404.93,14.62,21.6,557.23,2388.06,9057.55,1.3,47.28,525.68,2388.12,8146.57,8.3848,0.03,392,2388,100.0,39.24,23.5004,0.39846743295019155
105,-0.002,-0.0003,100.0,518.67,642.91,1580.15,1402.85,14.62,21.6,557.34,2388.09,9062.08,1.3,47.44,524.9,2388.1,8146.37,8.3707,0.03,393,2388,100.0,39.19,23.5097,0.40229885057471265
106,-0.0011,-0.0004,100.0,518.67,642.36,1584.2,1404.49,14.62,21.6,557.94,2388.08,9067.08,1.3,47.03,524.96,2388.05,8147.47,8.3211,0.03,391,2388,100.0,39.23,23.3762,0.4061302681992337
107,0.0008,-0.0004,100.0,518.67,642.67,1590.51,1401.52,14.62,21.6,557.53,2388.05,9062.46,1.3,47.29,524.83,2388.12,8145.36,8.318,0.03,391,2388,100.0,39.08,23.4177,0.4099616858237548
108,0.0002,0.0004,100.0,518.67,641.94,1587.04,1410.88,14.62,21.6,556.8,2388.12,9062.96,1.3,47.26,525.4,2388.07,8147.43,8.3796,0.03,393,2388,100.0,39.13,23.6392,0.41379310344827586
109,-0.0006,-0.0003,100.0,518.67,642.25,1587.75,1401.34,14.62,21.6,557.19,2388.1,9067.51,1.3,47.26,525.29,2388.13,8145.42,8.3393,0.03,394,2388,100.0,38.96,23.5041,0.41762452107279696
110,-0.0026,-0.0003,100.0,518.67,642.34,1584.88,1404.98,14.62,21.6,557.56,2388.09,9065.5,1.31,47.38,525.54,2388.09,8146.48,8.331,0.03,393,2388,100.0,39.12,23.4081,0.421455938697318
111,-0.0005,-0.0002,100.0,518.67,642.46,1587.4,1401.66,14.62,21.6,558.06,2388.12,9062.46,1.3,47.38,525.33,2388.1,8146.92,8.3574,0.03,393,2388,100.0,39.36,23.4697,0.42528735632183906
112,0.0043,0.0002,100.0,518.67,642.41,1584.55,1400.55,14.62,21.6,557.0,2388.1,9069.44,1.3,47.23,524.91,2388.07,8150.54,8.3439,0.03,392,2388,100.0,39.21,23.501,0.42911877394636017
113,0.0035,0.0004,100.0,518.67,642.16,1586.56,1400.5,14.62,21.6,556.95,2388.1,9063.11,1.3,47.32,525.55,2388.12,8145.19,8.3672,0.03,393,2388,100.0,39.27,23.4985,0.4329501915708812
114,0.0002,0.0,100.0,518.67,642.21,1587.04,1402.04,14.62,21.6,557.64,2388.07,9063.66,1.3,47.21,525.05,2388.14,8147.85,8.396,0.03,394,2388,100.0,39.01,23.5303,0.4367816091954023
115,-0.0002,-0.0003,100.0,518.67,642.54,1593.69,1400.88,14.62,21.6,557.37,2388.13,9063.7,1.3,47.41,525.19,2388.13,8147.25,8.3514,0.03,393,2388,100.0,39.12,23.5386,0.44061302681992337
116,-0.0039,-0.0,100.0,518.67,641.87,1587.85,1402.65,14.62,21.6,557.53,2388.12,9065.07,1.3,47.21,524.82,2388.1,8145.91,8.3234,0.03,392,2388,100.0,39.27,23.565,0.4444444444444444
117,0.0011,-0.0003,100.0,518.67,641.73,1586.06,1401.95,14.62,21.6,557.89,2388.08,9059.99,1.3,47.22,525.01,2388.18,8148.63,8.3291,0.03,393,2388,100.0,39.29,23.5893,0.4482758620689655
118,-0.0022,0.0002,100.0,518.67,642.5,1588.79,1399.98,14.62,21.6,557.77,2388.09,9069.75,1.3,47.17,525.34,2388.12,8149.23,8.3257,0.03,391,2388,100.0,39.07,23.5004,0.4521072796934866
119,0.0042,0.0003,100.0,518.67,642.22,1591.19,1395.65,14.62,21.6,557.12,2388.12,9070.77,1.3,47.31,525.53,2388.05,8143.41,8.3589,0.03,393,2388,100.0,39.18,23.4897,0.4559386973180077
120,0.0015,0.0004,100.0,518.67,642.24,1590.69,1398.63,14.62,21.6,557.9,2388.09,9066.64,1.3,47.33,524.97,2388.07,8146.15,8.4262,0.03,393,2388,100.0,39.06,23.6006,0.45977011494252873
121,0.0022,0.0003,100.0,518.67,642.61,1587.29,1398.36,14.62,21.6,556.98,2388.06,9058.83,1.3,47.49,525.17,2388.1,8140.76,8.3402,0.03,393,2388,100.0,39.17,23.6926,0.46360153256704983
122,0.0011,-0.0004,100.0,518.67,642.25,1594.54,1398.95,14.62,21.6,557.03,2388.08,9065.6,1.3,47.23,525.28,2388.15,8148.28,8.3639,0.03,393,2388,100.0,39.19,23.5784,0.4674329501915709
123,-0.0013,-0.0002,100.0,518.67,642.05,1592.62,1391.65,14.62,21.6,557.37,2388.06,9066.44,1.3,47.33,525.32,2388.09,8148.6,8.3674,0.03,393,2388,100.0,39.24,23.534,0.47126436781609193
124,0.0004,0.0001,100.0,518.67,642.66,1581.51,1406.53,14.62,21.6,557.84,2388.07,9058.15,1.3,47.36,525.53,2388.1,8146.13,8.3712,0.03,393,2388,100.0,39.28,23.5521,0.47509578544061304
125,-0.0012,-0.0001,100.0,518.67,642.31,1587.6,1393.05,14.62,21.6,556.67,2388.17,9063.82,1.3,47.28,525.81,2388.1,8148.48,8.3811,0.03,391,2388,100.0,39.05,23.4925,0.4789272030651341
126,-0.0002,0.0005,100.0,518.67,642.49,1583.14,1402.46,14.62,21.61,557.97,2388.15,9062.94,1.3,47.37,525.12,2388.1,8145.29,8.3447,0.03,392,2388,100.0,39.22,23.5807,0.4827586206896552
127,0.0034,-0.0004,100.0,518.67,642.31,1593.61,1399.45,14.62,21.6,558.01,2388.1,9067.69,1.3,47.34,524.98,2388.07,8142.98,8.3532,0.03,393,2388,100.0,39.08,23.4303,0.48659003831417624
128,-0.0022,-0.0001,100.0,518.67,641.94,1587.17,1397.47,14.62,21.6,556.82,2388.08,9062.14,1.3,47.34,525.05,2388.09,8145.35,8.4024,0.03,392,2388,100.0,39.07,23.4645,0.4904214559386973
129,0.0006,0.0,100.0,518.67,642.14,1585.96,1407.59,14.62,21.6,558.15,2388.07,9065.07,1.3,47.32,525.13,2388.11,8143.88,8.316,0.03,393,2388,100.0,39.21,23.5876,0.4942528735632184
130,-0.0012,-0.0001,100.0,518.67,641.74,1598.63,1403.16,14.62,21.6,558.71,2388.08,9066.95,1.3,47.46,525.69,2388.11,8143.63,8.3487,0.03,392,2388,100.0,39.06,23.4838,0.49808429118773945
131,-0.004,0.0001,100.0,518.67,642.7,1586.94,1400.4,14.62,21.6,557.73,2388.09,9064.64,1.3,47.19,526.13,2388.15,8146.58,8.3678,0.03,392,2388,100.0,39.15,23.5187,0.5019157088122606
132,-0.0018,0.0001,100.0,518.67,642.54,1586.33,1397.55,14.62,21.6,558.04,2388.14,9064.15,1.3,47.27,525.33,2388.08,8147.96,8.3528,0.03,391,2388,100.0,39.17,23.5248,0.5057471264367817
133,-0.0004,-0.0003,100.0,518.67,642.45,1585.71,1400.21,14.62,21.6,557.3,2388.12,9062.94,1.3,47.43,526.02,2388.09,8147.16,8.3341,0.03,392,2388,100.0,39.23,23.5272,0.5095785440613027
134,-0.0017,-0.0002,100.0,518.67,642.14,1585.27,1397.74,14.62,21.6,557.86,2388.15,9066.83,1.3,47.28,525.39,2388.13,8151.0,8.3459,0.03,392,2388,100.0,39.02,23.5163,0.5134099616858238
135,0.0018,-0.0004,100.0,518.67,642.1,1585.55,1398.9,14.62,21.6,558.1,2388.14,9064.54,1.3,47.45,525.79,2388.1,8149.24,8.3668,0.03,392,2388,100.0,39.24,23.4527,0.5172413793103449
136,-0.0027,-0.0004,100.0,518.67,642.14,1588.1,1397.65,14.62,21.6,558.27,2388.09,9069.67,1.3,47.29,525.7,2388.15,8149.21,8.3764,0.03,393,2388,100.0,39.22,23.5383,0.5210727969348659
137,0.0046,0.0,100.0,518.67,641.71,1589.16,1404.7,14.62,21.6,557.6,2388.07,9067.59,1.3,47.53,525.57,2388.11,8145.22,8.3667,0.03,393,2388,100.0,39.14,23.5331,0.524904214559387
138,-0.0004,0.0002,100.0,518.67,642.74,1588.74,1403.89,14.62,21.6,557.69,2388.09,9066.1,1.31,47.64,526.04,2388.15,8151.46,8.37,0.03,393,2388,100.0,39.25,23.4928,0.5287356321839081
139,-0.0011,0.0001,100.0,518.67,642.15,1588.9,1394.44,14.62,21.6,557.26,2388.11,9070.07,1.3,47.33,525.84,2388.14,8152.5,8.3735,0.03,392,2388,100.0,39.16,23.5386,0.5325670498084292
140,-0.0,-0.0002,100.0,518.67,642.64,1585.54,1398.29,14.62,21.6,557.74,2388.13,9063.19,1.3,47.22,525.27,2388.11,8150.99,8.3397,0.03,391,2388,100.0,39.16,23.5983,0.5363984674329502
141,-0.0001,-0.0003,100.0,518.67,642.21,1583.76,1412.82,14.62,21.6,558.05,2388.08,9067.77,1.3,47.33,526.24,2388.1,8146.3,8.3472,0.03,393,2388,100.0,39.28,23.578,0.5402298850574713
142,-0.0043,-0.0001,100.0,518.67,642.59,1579.65,1405.09,14.62,21.6,557.8,2388.12,9059.52,1.3,47.42,524.95,2388.1,8145.33,8.3364,0.03,391,2388,100.0,39.2,23.4497,0.5440613026819924
143,0.0018,0.0,100.0,518.67,642.54,1587.97,1399.32,14.62,21.6,558.18,2388.11,9064.71,1.3,47.37,525.38,2388.09,8149.73,8.3535,0.03,392,2388,100.0,38.98,23.4468,0.5478927203065134
144,0.0031,0.0003,100.0,518.67,642.11,1592.95,1407.03,14.62,21.6,557.84,2388.11,9070.45,1.31,47.48,525.61,2388.06,8148.59,8.3794,0.03,392,2388,100.0,39.25,23.4557,0.5517241379310345
145,-0.004,0.0003,100.0,518.67,641.91,1585.54,1397.56,14.62,21.6,557.55,2388.11,9070.05,1.3,47.21,525.51,2388.06,8150.73,8.3463,0.03,392,2388,100.0,39.11,23.5488,0.5555555555555556
146,-0.0006,-0.0001,100.0,518.67,642.4,1587.08,1396.65,14.62,21.6,558.18,2388.14,9064.8,1.3,47.2,526.25,2388.12,8149.37,8.3323,0.03,393,2388,100.0,39.17,23.4304,0.5593869731800766
147,0.003,-0.0003,100.0,518.67,642.35,1586.44,1396.65,14.62,21.6,557.77,2388.1,9067.08,1.3,47.35,525.85,2388.14,8148.91,8.3359,0.03,393,2388,100.0,39.32,23.4341,0.5632183908045977
148,-0.0011,0.0002,100.0,518.67,642.45,1586.21,1401.32,14.62,21.6,558.17,2388.12,9064.39,1.3,47.05,526.03,2388.17,8152.12,8.3404,0.03,392,2388,100.0,39.16,23.5465,0.5670498084291188
149,-0.001,0.0003,100.0,518.67,642.89,1589.16,1403.85,14.62,21.6,558.33,2388.1,9071.1,1.3,47.17,526.18,2388.14,8144.64,8.3787,0.03,391,2388,100.0,39.26,23.5727,0.5708812260536399
150,0.0005,0.0001,100.0,518.67,642.41,1589.02,1399.35,14.62,21.6,558.46,2388.09,9068.05,1.3,47.2,526.02,2388.08,8148.22,8.3322,0.03,392,2388,100.0,39.1,23.4872,0.5747126436781609
151,0.0001,0.0004,100.0,518.67,642.91,1590.2,1403.11,14.62,21.6,558.26,2388.15,9066.6,1.3,47.39,525.84,2388.14,8147.76,8.3383,0.03,391,2388,100.0,39.31,23.5832,0.578544061302682
152,-0.0003,0.0005,100.0,518.67,642.33,1584.23,1398.78,14.62,21.6,557.76,2388.12,9064.9,1.31,47.28,525.64,2388.08,8150.91,8.3163,0.03,393,2388,100.0,39.24,23.5176,0.5823754789272031
153,0.0028,-0.0,100.0,518.67,642.66,1587.75,1400.39,14.62,21.6,557.6,2388.11,9066.87,1.3,47.3,526.05,2388.16,8152.65,8.3492,0.03,394,2388,100.0,39.19,23.4437,0.5862068965517241
154,0.0025,0.0001,100.0,518.67,642.69,1583.21,1402.79,14.62,21.6,558.17,2388.15,9068.95,1.3,47.18,525.77,2388.15,8150.96,8.3132,0.03,392,2388,100.0,39.05,23.5971,0.5900383141762452
155,-0.0008,-0.0002,100.0,518.67,642.43,1587.1,1403.86,14.62,21.6,558.14,2388.1,9076.07,1.31,47.42,525.85,2388.1,8146.67,8.3764,0.03,392,2388,100.0,39.11,23.5153,0.5938697318007663
156,0.0029,-0.0004,100.0,518.67,642.09,1585.37,1400.51,14.62,21.6,558.51,2388.17,9070.16,1.31,47.24,526.4,2388.13,8145.61,8.3171,0.03,394,2388,100.0,39.25,23.4705,0.5977011494252874
157,0.0014,0.0003,100.0,518.67,642.35,1577.69,1401.17,14.62,21.6,557.45,2388.14,9068.42,1.3,47.33,526.55,2388.17,8143.0,8.349,0.03,392,2388,100.0,39.15,23.5079,0.6015325670498084
158,0.0011,0.0002,100.0,518.67,642.35,1586.7,1398.77,14.62,21.6,557.55,2388.13,9069.13,1.3,47.32,526.3,2388.14,8147.53,8.3511,0.03,391,2388,100.0,39.34,23.514,0.6053639846743295
159,-0.0015,0.0003,100.0,518.67,641.93,1588.83,1403.9,14.62,21.6,558.72,2388.16,9076.23,1.3,47.56,526.1,2388.18,8151.94,8.3447,0.03,393,2388,100.0,39.21,23.5836,0.6091954022988506
160,0.002,0.0,100.0,518.67,642.58,1594.2,1404.74,14.62,21.6,557.95,2388.12,9074.6,1.3,47.36,525.52,2388.11,8147.92,8.3486,0.03,393,2388,100.0,39.39,23.5861,0.6130268199233716
161,0.0013,0.0,100.0,518.67,642.48,1589.64,1398.92,14.62,21.6,557.96,2388.17,9064.41,1.3,47.37,525.8,2388.13,8146.31,8.3638,0.03,393,2388,100.0,39.13,23.4777,0.6168582375478927
162,-0.0013,0.0,100.0,518.67,642.32,1588.51,1406.46,14.62,21.6,558.62,2388.11,9069.9,1.3,47.33,526.41,2388.11,8147.41,8.3212,0.03,392,2388,100.0,39.08,23.526,0.6206896551724138
163,-0.0001,0.0003,100.0,518.67,642.3,1589.18,1404.54,14.62,21.6,558.46,2388.15,9073.2,1.3,47.18,526.72,2388.12,8145.95,8.3195,0.03,391,2388,100.0,39.38,23.5929,0.6245210727969349
164,0.0025,0.0003,100.0,518.67,642.34,1596.41,1402.45,14.62,21.6,558.53,2388.13,9061.42,1.3,47.31,526.11,2388.11,8150.32,8.354,0.03,392,2388,100.0,39.28,23.5555,0.6283524904214559
165,-0.0033,0.0001,100.0,518.67,642.45,1584.86,1400.95,14.62,21.6,558.37,2388.23,9071.79,1.3,47.45,526.56,2388.15,8150.6,8.3494,0.03,393,2388,100.0,39.29,23.4702,0.632183908045977
166,-0.0044,-0.0003,100.0,518.67,642.68,1592.42,1401.88,14.62,21.6,558.48,2388.16,9070.03,1.3,47.2,526.86,2388.14,8155.61,8.3457,0.03,394,2388,100.0,39.31,23.5801,0.6360153256704981
167,0.0012,0.0004,100.0,518.67,642.39,1586.51,1403.81,14.62,21.6,558.88,2388.09,9076.25,1.3,47.53,526.01,2388.16,8154.83,8.342,0.03,392,2388,100.0,39.07,23.4955,0.6398467432950191
168,-0.0007,0.0005,100.0,518.67,642.31,1589.14,1403.23,14.62,21.6,558.62,2388.15,9075.18,1.3,47.31,527.01,2388.15,8148.25,8.3576,0.03,394,2388,100.0,39.24,23.5856,0.6436781609195402
169,-0.0018,0.0002,100.0,518.67,642.42,1592.4,1401.64,14.62,21.6,558.49,2388.12,9074.82,1.3,47.42,525.87,2388.08,8147.37,8.3914,0.03,394,2388,100.0,39.37,23.5232,0.6475095785440613
170,0.0017,-0.0001,100.0,518.67,642.66,1597.95,1402.16,14.62,21.6,559.01,2388.1,9073.78,1.31,47.48,526.47,2388.19,8149.82,8.3281,0.03,392,2388,100.0,39.52,23.5909,0.6513409961685823
171,0.0024,-0.0003,100.0,518.67,642.09,1589.19,1400.87,14.62,21.6,558.58,2388.11,9075.15,1.3,47.33,526.77,2388.09,8144.39,8.3166,0.03,392,2388,100.0,39.19,23.5151,0.6551724137931034
172,-0.001,-0.0003,100.0,518.67,642.28,1593.54,1400.73,14.62,21.6,559.33,2388.14,9069.26,1.3,47.47,526.65,2388.16,8154.26,8.3485,0.03,393,2388,100.0,39.32,23.5688,0.6590038314176245
173,0.0009,-0.0003,100.0,518.67,642.12,1590.62,1400.12,14.62,21.6,558.64,2388.16,9072.15,1.3,47.51,526.73,2388.17,8153.21,8.3096,0.03,392,2388,100.0,39.23,23.499,0.6628352490421456
174,-0.0029,0.0005,100.0,518.67,642.55,1584.05,1403.22,14.62,21.6,559.01,2388.13,9072.63,1.3,47.31,526.51,2388.08,8156.23,8.3406,0.03,392,2388,100.0,39.12,23.4613,0.6666666666666666
175,0.0007,-0.0004,100.0,518.67,642.3,1581.78,1402.91,14.62,21.6,559.34,2388.14,9069.13,1.31,47.4,526.85,2388.14,8153.42,8.3387,0.03,392,2388,100.0,39.33,23.5686,0.6704980842911877
176,0.0006,0.0004,100.0,518.67,642.13,1592.19,1402.98,14.62,21.6,558.53,2388.17,9072.27,1.3,47.47,526.68,2388.12,8149.14,8.3486,0.03,394,2388,100.0,39.33,23.5829,0.6743295019157088
177,0.0001,-0.0002,100.0,518.67,642.14,1591.11,1406.63,14.62,21.6,559.23,2388.15,9075.77,1.3,47.37,526.6,2388.14,8148.48,8.3625,0.03,394,2388,100.0,39.36,23.5845,0.6781609195402298
178,0.0014,-0.0001,100.0,518.67,642.2,1591.56,1399.86,14.62,21.6,559.17,2388.21,9078.5,1.31,47.29,527.19,2388.2,8146.58,8.3451,0.03,392,2388,100.0,39.16,23.5138,0.6819923371647509
179,0.0011,0.0004,100.0,518.67,642.15,1588.37,1409.76,14.62,21.6,559.56,2388.23,9071.12,1.31,47.57,526.99,2388.17,8154.98,8.3486,0.03,394,2388,100.0,39.25,23.5852,0.685823754789272
180,0.004,0.0002,100.0,518.67,642.84,1595.03,1412.23,14.62,21.6,558.76,2388.19,9062.17,1.3,47.48,526.55,2388.1,8155.35,8.3705,0.03,390,2388,100.0,39.27,23.5199,0.6896551724137931
181,-0.0019,0.0004,100.0,518.67,642.37,1596.08,1405.41,14.62,21.6,559.47,2388.14,9071.53,1.3,47.37,527.14,2388.18,8152.15,8.3497,0.03,392,2388,100.0,39.19,23.6218,0.6934865900383141
182,-0.0023,-0.0,100.0,518.67,643.21,1596.0,1405.74,14.62,21.6,559.84,2388.18,9073.72,1.31,47.52,527.09,2388.17,8154.33,8.3302,0.03,393,2388,100.0,39.36,23.5014,0.6973180076628352
183,-0.0006,-0.0004,100.0,518.67,642.73,1586.4,1404.43,14.62,21.6,558.52,2388.16,9078.07,1.31,47.42,526.51,2388.19,8154.67,8.3413,0.03,393,2388,100.0,39.05,23.6041,0.7011494252873564
184,0.0047,0.0002,100.0,518.67,642.45,1580.15,1407.04,14.62,21.6,559.84,2388.19,9071.53,1.31,47.5,527.21,2388.15,8153.72,8.3553,0.03,391,2388,100.0,39.33,23.5793,0.7049808429118773
185,-0.0008,0.0002,100.0,518.67,642.09,1582.93,1404.38,14.62,21.6,559.17,2388.08,9072.39,1.31,47.44,526.98,2388.16,8155.09,8.3149,0.03,393,2388,100.0,39.31,23.5333,0.7088122605363985
186,0.0014,-0.0003,100.0,518.67,642.27,1585.67,1405.22,14.62,21.6,558.96,2388.21,9074.04,1.31,47.54,526.91,2388.16,8152.64,8.3461,0.03,394,2388,100.0,39.3,23.4846,0.7126436781609196
187,0.0007,0.0003,100.0,518.67,642.4,1590.07,1403.09,14.62,21.6,559.29,2388.22,9077.5,1.31,47.53,527.42,2388.14,8155.67,8.3164,0.03,393,2388,100.0,39.25,23.5588,0.7164750957854407
188,-0.0017,0.0,100.0,518.67,642.77,1584.89,1411.05,14.62,21.6,560.33,2388.15,9078.95,1.31,47.44,527.5,2388.16,8157.57,8.3193,0.03,393,2388,100.0,39.22,23.5722,0.7203065134099617
189,-0.0016,0.0004,100.0,518.67,642.38,1593.01,1404.61,14.62,21.6,558.41,2388.15,9074.66,1.31,47.61,526.45,2388.13,8154.43,8.3029,0.03,394,2388,100.0,39.38,23.5808,0.7241379310344828
190,-0.0025,0.0001,100.0,518.67,642.36,1588.01,1410.39,14.62,21.6,559.59,2388.2,9074.05,1.3,47.41,527.32,2388.15,8158.86,8.3362,0.03,392,2388,100.0,39.04,23.58,0.7279693486590039
191,0.0019,-0.0,100.0,518.67,642.32,1590.37,1403.66,14.62,21.6,559.85,2388.2,9084.2,1.31,47.52,527.7,2388.21,8158.14,8.3082,0.03,392,2388,100.0,39.3,23.6829,0.7318007662835249
192,-0.0042,0.0005,100.0,518.67,642.05,1589.54,1410.38,14.62,21.61,560.02,2388.19,9079.19,1.31,47.56,527.99,2388.19,8156.07,8.3325,0.03,392,2388,100.0,39.21,23.6337,0.735632183908046
193,-0.001,0.0003,100.0,518.67,642.79,1586.38,1397.0,14.62,21.6,560.08,2388.15,9077.84,1.31,47.47,527.2,2388.13,8155.65,8.3309,0.03,393,2388,100.0,39.23,23.6053,0.7394636015325671
194,0.0004,-0.0003,100.0,518.67,642.41,1592.05,1403.8,14.62,21.6,560.54,2388.19,9073.78,1.31,47.42,526.77,2388.24,8156.2,8.2961,0.03,393,2388,100.0,39.25,23.4965,0.7432950191570882
195,-0.0008,-0.0004,100.0,518.67,642.87,1594.58,1401.46,14.62,21.6,559.66,2388.2,9073.02,1.31,47.46,527.8,2388.18,8154.35,8.3228,0.03,392,2388,100.0,39.37,23.6925,0.7471264367816092
196,0.0021,-0.0002,100.0,518.67,642.19,1593.19,1407.73,14.62,21.6,559.93,2388.14,9078.75,1.3,47.44,528.01,2388.19,8152.89,8.3404,0.03,394,2388,100.0,39.4,23.5619,0.7509578544061303
197,-0.0041,-0.0,100.0,518.67,642.27,1600.74,1405.26,14.62,21.6,560.87,2388.18,9076.07,1.31,47.45,527.4,2388.19,8154.8,8.3203,0.03,393,2388,100.0,39.37,23.605,0.7547892720306514
198,0.003,0.0003,100.0,518.67,642.64,1591.98,1408.72,14.62,21.6,559.85,2388.2,9081.26,1.31,47.56,528.48,2388.18,8155.82,8.3019,0.03,393,2388,100.0,39.5,23.5555,0.7586206896551724
199,0.0009,0.0,100.0,518.67,642.36,1596.34,1405.25,14.62,21.6,559.91,2388.21,9078.74,1.31,47.42,528.52,2388.16,8157.8,8.3122,0.03,393,2388,100.0,39.31,23.5797,0.7624521072796935
200,0.0003,0.0005,100.0,518.67,642.72,1594.44,1410.76,14.62,21.6,559.42,2388.19,9083.04,1.31,47.5,528.16,2388.22,8156.59,8.333,0.03,391,2388,100.0,39.4,23.5569,0.7662835249042146
201,-0.0019,0.0004,100.0,518.67,642.75,1598.41,1413.27,14.62,21.6,560.54,2388.23,9087.54,1.31,47.58,528.59,2388.23,8160.09,8.3096,0.03,395,2388,100.0,39.08,23.5747,0.7701149425287356
202,0.0008,0.0001,100.0,518.67,642.5,1591.21,1405.66,14.62,21.61,560.21,2388.23,9079.6,1.31,47.64,528.55,2388.26,8163.3,8.3146,0.03,393,2388,100.0,39.42,23.6105,0.7739463601532567
203,0.0024,-0.0002,100.0,518.67,642.41,1589.89,1403.95,14.62,21.6,561.31,2388.21,9081.62,1.31,47.59,528.16,2388.18,8154.62,8.3136,0.03,391,2388,100.0,39.51,23.683,0.7777777777777778
204,-0.0002,0.0004,100.0,518.67,642.17,1590.15,1398.96,14.62,21.6,560.71,2388.25,9079.76,1.31,47.54,527.91,2388.24,8158.65,8.3541,0.03,395,2388,100.0,39.36,23.668,0.7816091954022989
205,-0.0023,0.0001,100.0,518.67,642.47,1596.37,1409.0,14.62,21.6,560.56,2388.22,9078.84,1.31,47.61,528.23,2388.21,8154.92,8.3434,0.03,394,2388,100.0,39.52,23.5765,0.7854406130268199
206,0.0014,0.0001,100.0,518.67,642.55,1591.09,1415.24,14.62,21.6,561.49,2388.23,9079.68,1.31,47.68,528.91,2388.2,8160.43,8.3159,0.03,393,2388,100.0,39.1,23.5973,0.789272030651341
207,0.0023,0.0,100.0,518.67,643.16,1591.2,1410.36,14.62,21.6,560.58,2388.22,9082.38,1.31,47.67,527.77,2388.18,8157.25,8.3628,0.03,394,2388,100.0,39.44,23.5426,0.7931034482758621
208,-0.002,-0.0004,100.0,518.67,642.57,1589.51,1405.52,14.62,21.6,560.01,2388.24,9071.35,1.31,47.49,528.19,2388.26,8159.43,8.3118,0.03,393,2388,100.0,39.32,23.6029,0.7969348659003831
209,-0.0,-0.0002,100.0,518.67,642.83,1590.03,1409.76,14.62,21.6,561.15,2388.26,9084.45,1.31,47.75,529.25,2388.2,8162.75,8.3063,0.03,393,2388,100.0,39.39,23.6336,0.8007662835249042
210,0.0013,0.0003,100.0,518.67,642.67,1582.02,1409.32,14.62,21.6,560.34,2388.22,9080.0,1.31,47.66,528.62,2388.26,8163.84,8.3101,0.03,393,2388,100.0,39.27,23.5854,0.8045977011494253
211,0.0002,0.0002,100.0,518.67,642.01,1590.85,1411.33,14.62,21.6,560.73,2388.21,9089.62,1.31,47.45,528.76,2388.28,8168.87,8.2735,0.03,393,2388,100.0,39.19,23.6908,0.8084291187739464
212,0.0004,-0.0004,100.0,518.67,642.5,1588.96,1403.9,14.62,21.6,560.87,2388.27,9086.43,1.31,47.67,529.15,2388.27,8163.4,8.312,0.03,395,2388,100.0,39.32,23.5533,0.8122605363984674
213,-0.0009,0.0002,100.0,518.67,642.89,1593.43,1406.41,14.62,21.6,561.47,2388.24,9085.46,1.31,47.48,529.32,2388.24,8165.44,8.3267,0.03,394,2388,100.0,39.46,23.6458,0.8160919540229885
214,-0.0014,0.0003,100.0,518.67,642.59,1603.04,1408.69,14.62,21.6,562.09,2388.29,9088.36,1.31,47.48,529.02,2388.24,8161.31,8.3112,0.03,392,2388,100.0,39.43,23.695,0.8199233716475096
215,0.0008,-0.0003,100.0,518.67,642.57,1593.34,1412.63,14.62,21.6,561.47,2388.3,9087.77,1.31,47.82,529.18,2388.24,8165.63,8.3064,0.03,394,2388,100.0,39.39,23.5894,0.8237547892720306
216,0.003,0.0005,100.0,518.67,642.13,1600.25,1418.37,14.62,21.6,562.15,2388.28,9088.77,1.31,47.58,529.27,2388.27,8159.18,8.2758,0.03,394,2388,100.0,39.41,23.7643,0.8275862068965517
217,0.0015,0.0005,100.0,518.67,643.21,1592.74,1409.76,14.62,21.6,561.5,2388.27,9086.05,1.31,47.65,529.32,2388.28,8161.83,8.2933,0.03,395,2388,100.0,39.35,23.6051,0.8314176245210728
218,0.0047,-0.0004,100.0,518.67,642.72,1587.98,1405.01,14.62,21.6,562.01,2388.26,9081.76,1.31,47.46,529.01,2388.28,8164.89,8.3173,0.03,394,2388,100.0,39.35,23.6319,0.8352490421455939
219,0.0001,-0.0003,100.0,518.67,643.38,1603.8,1418.92,14.62,21.6,562.43,2388.27,9090.14,1.31,47.74,530.18,2388.27,8161.44,8.2856,0.03,394,2388,100.0,39.39,23.6854,0.8390804597701149
220,-0.0004,-0.0004,100.0,518.67,642.86,1593.26,1411.62,14.62,21.6,562.02,2388.26,9089.56,1.31,47.49,530.01,2388.28,8169.12,8.2836,0.03,392,2388,100.0,39.42,23.5194,0.842911877394636
221,0.001,0.0003,100.0,518.67,642.44,1593.11,1409.22,14.62,21.6,562.1,2388.24,9098.24,1.31,47.8,529.82,2388.28,8164.63,8.3114,0.03,395,2388,100.0,39.29,23.71,0.8467432950191571
222,-0.0034,0.0002,100.0,518.67,642.93,1597.14,1409.25,14.62,21.6,562.69,2388.28,9090.19,1.31,47.66,529.88,2388.32,8163.97,8.334,0.03,396,2388,100.0,39.41,23.712,0.8505747126436781
223,0.002,0.0001,100.0,518.67,642.47,1605.83,1416.41,14.62,21.6,562.76,2388.36,9094.09,1.31,47.72,529.97,2388.27,8167.85,8.3021,0.03,394,2388,100.0,39.49,23.6063,0.8544061302681992
